name,price,price_submitted,address
Astro,5.19,21 hours ago,324 NE E St
Fireball Gas,- - -,,1044 NW 6th St
ARCO,5.19,2 days ago,785 SE 7th St
Speedway Express,- - -,,1094 NE E St
Fred Meyer,- - -,,1101 Grants Pass Pkwy
Shell,- - -,,979 Rogue River Hwy
76,- - -,,935 Rogue River Hwy
Chevron,- - -,,1553 Williams Hwy
,5.09,1 hour ago,190 NE Terry Ln
,5.23,1 day ago,650 Redwood Hwy
Astro,5.19,21 hours ago,324 NE E St
Fireball Gas,- - -,,1044 NW 6th St
ARCO,5.19,2 days ago,785 SE 7th St
Speedway Express,- - -,,1094 NE E St
Fred Meyer,- - -,,1101 Grants Pass Pkwy
Shell,- - -,,979 Rogue River Hwy
76,- - -,,935 Rogue River Hwy
Chevron,- - -,,1553 Williams Hwy
,5.09,1 hour ago,190 NE Terry Ln
,5.23,1 day ago,650 Redwood Hwy
